region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,custcat,gender_label,marital_label,retire_label
2,46,49,1,13,51.0,2,21,0.0,0,2,1,Mujer,Casado,No Jubilado
1,21,43,0,13,41.0,2,1,0.0,1,1,4,Hombre,Soltero,No Jubilado
3,35,33,0,9,73.0,5,4,0.0,1,1,4,Hombre,Soltero,No Jubilado
2,50,52,1,17,36.0,4,16,0.0,0,4,4,Mujer,Casado,No Jubilado
3,60,56,0,19,51.0,4,11,0.0,0,1,4,Mujer,Soltero,No Jubilado
3,71,40,1,19,53.0,4,14,0.0,1,2,4,Hombre,Casado,No Jubilado
3,27,51,1,3,80.0,5,11,0.0,0,3,2,Mujer,Casado,No Jubilado
3,31,31,0,4,48.0,1,15,0.0,0,1,3,Mujer,Soltero,No Jubilado
2,56,54,0,25,147.0,3,31,0.0,1,1,2,Hombre,Soltero,No Jubilado
1,53,35,0,15,59.0,3,5,0.0,1,1,3,Hombre,Soltero,No Jubilado
3,72,68,1,26,59.0,2,36,1.0,1,2,4,Hombre,Casado,Jubilado
1,41,52,0,26,928.0,3,29,0.0,0,3,3,Mujer,Soltero,No Jubilado
2,27,24,1,3,26.0,1,7,0.0,1,4,1,Hombre,Casado,No Jubilado
1,26,29,1,3,77.0,4,2,0.0,0,4,4,Mujer,Casado,No Jubilado
2,60,55,1,13,67.0,1,18,0.0,1,2,1,Hombre,Casado,No Jubilado
2,44,49,1,2,66.0,2,8,0.0,1,4,4,Hombre,Casado,No Jubilado
1,32,27,1,3,91.0,4,1,0.0,1,3,4,Hombre,Casado,No Jubilado
3,4,32,0,2,53.0,4,5,0.0,0,1,1,Mujer,Soltero,No Jubilado
3,44,31,0,12,30.0,1,7,0.0,1,3,1,Hombre,Soltero,No Jubilado
1,35,39,1,11,30.0,3,2,0.0,1,3,3,Hombre,Casado,No Jubilado
1,46,29,1,4,90.0,5,3,0.0,0,4,4,Mujer,Casado,No Jubilado
2,53,63,1,15,43.0,2,18,0.0,0,2,2,Mujer,Casado,No Jubilado
3,70,39,1,20,38.0,2,8,0.0,1,4,3,Hombre,Casado,No Jubilado
3,8,27,1,0,21.0,3,3,0.0,1,2,2,Hombre,Casado,No Jubilado
2,22,23,1,3,16.0,1,5,0.0,0,4,1,Mujer,Casado,No Jubilado
1,8,42,1,2,129.0,4,17,0.0,1,3,1,Hombre,Casado,No Jubilado
2,54,42,1,0,55.0,4,2,0.0,0,5,4,Mujer,Casado,No Jubilado
3,60,48,1,22,106.0,3,21,0.0,1,3,4,Hombre,Casado,No Jubilado
1,14,31,1,9,39.0,3,4,0.0,1,7,1,Hombre,Casado,No Jubilado
1,60,53,0,22,171.0,1,37,0.0,1,1,3,Hombre,Soltero,No Jubilado
1,44,57,1,1,186.0,2,17,0.0,0,2,3,Mujer,Casado,No Jubilado
2,42,40,0,7,37.0,2,8,0.0,1,1,4,Hombre,Soltero,No Jubilado
1,64,55,0,28,104.0,1,26,0.0,1,1,3,Hombre,Soltero,No Jubilado
3,10,23,0,1,29.0,4,0,0.0,1,1,4,Hombre,Soltero,No Jubilado
2,7,37,0,5,57.0,4,1,0.0,0,1,1,Mujer,Soltero,No Jubilado
1,46,48,1,15,64.0,3,20,0.0,0,2,3,Mujer,Casado,No Jubilado
1,35,50,1,26,140.0,2,21,0.0,1,4,3,Hombre,Casado,No Jubilado
3,46,25,0,5,57.0,5,0,0.0,1,2,1,Hombre,Soltero,No Jubilado
