,region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,custcat
region,1.0,0.016388422638292696,0.015034002953239698,-0.08063736622926332,0.010320122274923411,0.023764677138992007,-0.05795195915661769,0.016334968438778547,0.00559503099329563,0.0505960864530235,-0.06515809134301365,-0.023770651305126983
tenure,0.016388422638292696,1.0,0.4902172595790897,0.1541713725835943,0.52295216814403,0.24291221751367395,-0.10979683147186488,0.5202884191871194,0.17114338073944751,0.023532878867291985,-0.0365924966652373,0.16669055788264645
age,0.015034002953239698,0.4902172595790897,1.0,-0.014432865828528454,0.6604349979763415,0.3279477737613504,-0.1548569596187368,0.6700469860278433,0.4294399813709217,-0.01141911730971474,-0.25499327355200996,0.05690892712798065
marital,-0.08063736622926332,0.1541713725835943,-0.014432865828528454,1.0,-0.01205122524273656,-0.04398408839581744,0.0013996613720133229,-0.0028908730006354773,-0.07810866050394695,0.008345241975951987,0.6259987754849989,0.08383570717342463
address,0.010320122274923411,0.52295216814403,0.6604349979763415,-0.01205122524273656,1.0,0.22678100734020987,-0.1283303354940998,0.46329092167824043,0.292502678076287,0.008363200375022655,-0.2016450844683748,0.06791316309090496
income,0.023764677138992007,0.24291221751367395,0.3279477737613504,-0.04398408839581744,0.22678100734020987,1.0,0.11393868306829957,0.5163486389893347,-0.08365118553798623,0.03870623373529497,-0.09759105643021951,0.13452539502269464
ed,-0.05795195915661769,-0.10979683147186488,-0.1548569596187368,0.0013996613720133229,-0.1283303354940998,0.11393868306829957,1.0,-0.22858030340527616,-0.11422894206440755,0.006703908199057947,0.021044823172108335,0.19386384961454145
employ,0.016334968438778547,0.5202884191871194,0.6700469860278433,-0.0028908730006354773,0.46329092167824043,0.5163486389893347,-0.22858030340527616,1.0,0.2774007773060807,0.046016477370474124,-0.13468329771209517,0.11001069597646501
retire,0.00559503099329563,0.17114338073944751,0.4294399813709217,-0.07810866050394695,0.292502678076287,-0.08365118553798623,-0.11422894206440755,0.2774007773060807,1.0,0.05390596497605781,-0.14012033264386578,0.008907859375651939
gender,0.0505960864530235,0.023532878867291985,-0.01141911730971474,0.008345241975951987,0.008363200375022655,0.03870623373529497,0.006703908199057947,0.046016477370474124,0.05390596497605781,1.0,0.016556447810937718,-0.004966497351835376
reside,-0.06515809134301365,-0.0365924966652373,-0.25499327355200996,0.6259987754849989,-0.2016450844683748,-0.09759105643021951,0.021044823172108335,-0.13468329771209517,-0.14012033264386578,0.016556447810937718,1.0,0.08202218369702707
custcat,-0.023770651305126983,0.16669055788264645,0.05690892712798065,0.08383570717342463,0.06791316309090496,0.13452539502269464,0.19386384961454145,0.11001069597646501,0.008907859375651939,-0.004966497351835376,0.08202218369702707,1.0
